id,bio_codex,bio_name,bio_cost,bio_find
1,$Codex_Ent_Aleoids_01_Name;,Aleoida Arcus,7252500,0
36,$Codex_Ent_Cactoid_02_Name;,Cactoida Lapis,2483600,0
37,$Codex_Ent_Cactoid_03_Name;,Cactoida Vermis,16202800,0
38,$Codex_Ent_Cactoid_04_Name;,Cactoida Pullulanta,3667600,0
39,$Codex_Ent_Cactoid_05_Name;,Cactoida Peperatis,2483600,0
40,$Codex_Ent_Clypeus_01_Name;,Clypeus Lacrimam,8418000,0
41,$Codex_Ent_Clypeus_02_Name;,Clypeus Margaritus,11873200,0
42,$Codex_Ent_Clypeus_03_Name;,Clypeus Speculumi,16202800,0
43,$Codex_Ent_Conchas_01_Name;,Concha Renibus,4572400,0
44,$Codex_Ent_Conchas_02_Name;,Concha Aureolas,7774700,0
45,$Codex_Ent_Conchas_03_Name;,Concha Labiata,2352400,0
46,$Codex_Ent_Conchas_04_Name;,Concha Biconcavis,16777215,0
47,$Codex_Ent_Electricae_01_Name;,Electricae Pluma,6284600,0
48,$Codex_Ent_Electricae_02_Name;,Electricae Radialem,6284600,0
49,$Codex_Ent_Fonticulus_01_Name;,Fonticulua Segmentatus,19010800,0
50,$Codex_Ent_Fonticulus_02_Name;,Fonticulua Campestris,1000000,0
51,$Codex_Ent_Fonticulus_03_Name;,Fonticulua Upupam,5727600,0
52,$Codex_Ent_Fonticulus_04_Name;,Fonticulua Lapida,3111000,0
53,$Codex_Ent_Fonticulus_05_Name;,Fonticulua Fluctus,20000000,0
54,$Codex_Ent_Fonticulus_06_Name;,Fonticulua Digitos,1804100,0
55,$Codex_Ent_Shrubs_01_Name;,Frutexa Flabellum,1808900,0
56,$Codex_Ent_Shrubs_02_Name;,Frutexa Acus,7774700,0
57,$Codex_Ent_Shrubs_03_Name;,Frutexa Metallicum,1632500,0
58,$Codex_Ent_Shrubs_04_Name;,Frutexa Flammasis,10326000,0
59,$Codex_Ent_Shrubs_05_Name;,Frutexa Fera,1632500,0
60,$Codex_Ent_Shrubs_06_Name;,Frutexa Sponsae,5988000,0
61,$Codex_Ent_Shrubs_07_Name;,Frutexa Collum,1639800,0
62,$Codex_Ent_Fumerolas_01_Name;,Fumerola Carbosis,6284600,0
63,$Codex_Ent_Fumerolas_02_Name;,Fumerola Extremus,16202800,0
64,$Codex_Ent_Fumerolas_03_Name;,Fumerola Nitris,7500900,0
65,$Codex_Ent_Fumerolas_04_Name;,Fumerola Aquatis,6284600,0
66,$Codex_Ent_Fungoids_01_Name;,Fungoida Setisis,1670100,0
67,$Codex_Ent_Fungoids_02_Name;,Fungoida Stabitis,2680300,0
68,$Codex_Ent_Fungoids_03_Name;,Fungoida Bullarum,3703200,0
69,$Codex_Ent_Fungoids_04_Name;,Fungoida Gelata,3330300,0
70,$Codex_Ent_Osseus_01_Name;,Osseus Fractus,4027800,0
71,$Codex_Ent_Osseus_02_Name;,Osseus Discus,12934900,0
72,$Codex_Ent_Osseus_03_Name;,Osseus Spiralis,2404700,0
73,$Codex_Ent_Osseus_04_Name;,Osseus Pumice,3156300,0
74,$Codex_Ent_Osseus_05_Name;,Osseus Cornibus,1483000,0
75,$Codex_Ent_Osseus_06_Name;,Osseus Pellebantus,9739000,0
76,$Codex_Ent_Recepta_01_Name;,Recepta Umbrux,12934900,0
77,$Codex_Ent_Recepta_02_Name;,Recepta Deltahedronix,16202800,0
78,$Codex_Ent_Recepta_03_Name;,Recepta Conditivus,14313700,0
79,$Codex_Ent_Ground_Struct_Ice_Name;,Crystalline Shards,1628800,0
80,$Codex_Ent_Stratum_01_Name;,Stratum Excutitus,2448900,0
81,$Codex_Ent_Stratum_02_Name;,Stratum Paleas,1362000,0
82,$Codex_Ent_Stratum_03_Name;,Stratum Laminamus,2788300,0
83,$Codex_Ent_Stratum_04_Name;,Stratum Araneamus,2448900,0
84,$Codex_Ent_Stratum_05_Name;,Stratum Limaxus,1362000,0
85,$Codex_Ent_Stratum_06_Name;,Stratum Cucumisis,16202800,0
86,$Codex_Ent_Stratum_07_Name;,Stratum Tectonicas,19010800,0
87,$Codex_Ent_Stratum_08_Name;,Stratum Frigus,2637500,0
88,$Codex_Ent_Tube_Name;,Roseum Sinuous Tubers,1514500,0
89,$Codex_Ent_TubeABCD_01_Name;,Prasinum Sinuous Tubers,1514500,0
90,$Codex_Ent_TubeABCD_02_Name;,Albidum Sinuous Tubers,1514500,0
91,$Codex_Ent_TubeABCD_03_Name;,Caeruleum Sinuous Tubers,1514500,0
92,$Codex_Ent_TubeEFGH_01_Name;,Lindigoticum Sinuous Tubers,1514500,0
93,$Codex_Ent_TubeEFGH_02_Name;,Violaceum Sinuous Tubers,1514500,0
94,$Codex_Ent_TubeEFGH_03_Name;,Viride Sinuous Tubers,1514500,0
95,$Codex_Ent_TubeEFGH_Name;,Blatteum Sinuous Tubers,1514500,0
96,$Codex_Ent_Tubus_01_Name;,Tubus Conifer,2415500,0
97,$Codex_Ent_Tubus_02_Name;,Tubus Sororibus,5727600,0
98,$Codex_Ent_Tubus_03_Name;,Tubus Cavas,11873200,0
99,$Codex_Ent_Tubus_04_Name;,Tubus Rosarium,2637500,0
100,$Codex_Ent_Tubus_05_Name;,Tubus Compagibus,7774700,0
101,$Codex_Ent_Tussocks_01_Name;,Tussock Pennata,5853800,0
102,$Codex_Ent_Tussocks_02_Name;,Tussock Ventusa,3227700,0
103,$Codex_Ent_Tussocks_03_Name;,Tussock Ignis,1849000,0
104,$Codex_Ent_Tussocks_04_Name;,Tussock Cultro,1766600,0
105,$Codex_Ent_Tussocks_05_Name;,Tussock Catena,1766600,0
106,$Codex_Ent_Tussocks_06_Name;,Tussock Pennatis,1000000,0
107,$Codex_Ent_Tussocks_07_Name;,Tussock Serrati,4447100,0
108,$Codex_Ent_Tussocks_08_Name;,Tussock Albata,3252500,0
109,$Codex_Ent_Tussocks_09_Name;,Tussock Propagito,1000000,0
110,$Codex_Ent_Tussocks_10_Name;,Tussock Divisa,1766600,0
111,$Codex_Ent_Tussocks_11_Name;,Tussock Caputus,3472400,0
112,$Codex_Ent_Tussocks_12_Name;,Tussock Triticum,7774700,0
113,$Codex_Ent_Tussocks_13_Name;,Tussock Stigmasis,19010800,0
114,$Codex_Ent_Tussocks_14_Name;,Tussock Virgam,14313700,0
115,$Codex_Ent_Tussocks_15_Name;,Tussock Capillum,7025800,0
116,$Codex_Ent_Thargoid_Barnacle_Matrix_Name;,Thargoid Mega Barnacles,2313500,0
117,$Codex_Ent_Thargoid_Tower_Name;,Thargoid Spires,2247100,0
118,$Codex_Ent_Thargoid_Coral_Root_Name;,Coral Root,1924600,0
119,$Codex_Ent_Thargoid_Coral_Tree_Name;,Coral Tree,1896800,0
120,$Codex_Ent_Cone_Name;,Bark Mound,1471900,0
121,$Codex_Ent_Vents_Name;,Amphora Plant,1628800,0
